         1186752738 function calls (1183714170 primitive calls) in 303.272 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29335    0.040    0.000    3.340    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\distributions.py:605(actions_from_params)
    29335    2.551    0.000    3.297    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:233(get_relevant_pheromones_for_state)
    29335    0.601    0.000    3.119    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\distributions.py:541(proba_distribution)
   418504    1.712    0.000    2.935    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:258(calculate_pheromone_vector)
    25/20    0.000    0.000    2.839    0.142 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_ops.py:279(py_impl)
   117360    0.222    0.000    2.508    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\numeric.py:2243(allclose)
6939332/5352552    1.281    0.000    2.342    0.000 {built-in method builtins.isinstance}
    29340    0.045    0.000    2.155    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\controller.py:54(get_state_fn)
    29340    0.622    0.000    2.110    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:383(get_state_vector)
   117350    1.320    0.000    2.087    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:202(get_agents_within_communication_radius)
  9062038    1.996    0.000    1.996    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      298    0.001    0.000    1.933    0.006 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\_api\deprecation.py:442(wrapper)
      298    0.003    0.000    1.931    0.006 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\__init__.py:1518(inner)
      298    0.012    0.000    1.925    0.006 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\axes\_axes.py:4776(scatter)
        3    0.000    0.000    1.887    0.629 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_ops.py:147(py_functionalize_impl)
   117498    1.128    0.000    1.851    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\numeric.py:2337(isclose)
    29350    0.112    0.000    1.782    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributions\normal.py:53(__init__)
   242712    1.202    0.000    1.782    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\function_base.py:25(linspace)
    29335    1.710    0.000    1.755    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:134(update_pheromone_map_shared)
  9001315    1.172    0.000    1.735    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\linalg\_linalg.py:128(isComplexType)
    84886    0.052    0.000    1.558    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:1980(kktsolver)
    84886    0.900    0.000    1.507    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:1389(factor)
  1468660    0.462    0.000    1.295    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:2719(children)
    29335    0.140    0.000    1.292    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:236(obs_to_tensor)
      894    0.002    0.000    1.261    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\ma\core.py:7117(__call__)
     1487    0.173    0.000    1.251    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\ma\core.py:2879(__new__)
      894    0.002    0.000    1.243    0.001 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\ma\core.py:8646(asanyarray)
 18067649    1.182    0.000    1.182    0.000 {built-in method builtins.issubclass}
    17601    0.112    0.000    1.064    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\collections.py:556(set_offsets)
    29350    0.297    0.000    0.993    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributions\distribution.py:41(__init__)
   995164    0.991    0.000    0.991    0.000 {built-in method cvxopt.base.gemv}
    29335    0.085    0.000    0.960    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:41(check_environment)
        3    0.000    0.000    0.954    0.318 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_ops.py:251(__init__)
        1    0.000    0.000    0.935    0.935 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:650(__init__)
        1    0.000    0.000    0.918    0.918 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
   328708    0.287    0.000    0.896    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\ma\core.py:1471(getmaskarray)
  9064071    0.884    0.000    0.884    0.000 {method 'append' of 'list' objects}
  1468660    0.607    0.000    0.833    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:2728(named_children)
  9120957    0.798    0.000    0.799    0.000 {built-in method numpy.asarray}
     5867    0.420    0.000    0.777    0.000 C:\Users\clark\Documents\Robotarium\robotarium_python_simulator\rps\robotarium_abc.py:165(_validate)
    29335    0.196    0.000    0.743    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:229(get_nearby_food)
    29340    0.026    0.000    0.734    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:372(get_num_neighbors)
  1451677    0.731    0.000    0.731    0.000 {built-in method cvxopt.blas.axpy}
   161833    0.119    0.000    0.690    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
   169772    0.082    0.000    0.680    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\coneprog.py:1896(fG)
   312587    0.673    0.000    0.673    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   117626    0.134    0.000    0.640    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\fromnumeric.py:2241(clip)
   845189    0.631    0.000    0.631    0.000 {built-in method numpy.asanyarray}
   793415    0.415    0.000    0.619    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\parameter.py:10(__instancecheck__)
  9036399    0.599    0.000    0.599    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\linalg\_linalg.py:2571(_norm_dispatcher)
   169772    0.245    0.000    0.599    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\cvxopt\misc.py:801(sgemv)
     1465    0.242    0.000    0.595    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\agent.py:68(update_pheromone_map_own)
        1    0.000    0.000    0.574    0.574 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_dynamo\exc.py:1(<module>)
        1    0.000    0.000    0.571    0.571 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
    29350    0.082    0.000    0.569    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributions\utils.py:24(broadcast_all)
    29365    0.108    0.000    0.551    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:148(device)
   793295    0.355    0.000    0.535    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\parameter.py:216(__instancecheck__)
        1    0.000    0.000    0.530    0.530 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
    29335    0.034    0.000    0.526    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:122(extract_features)
       25    0.001    0.000    0.510    0.020 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_prims\__init__.py:355(<genexpr>)
    58670    0.046    0.000    0.510    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\activation.py:132(forward)
        1    0.000    0.000    0.505    0.505 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.494    0.494 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\sympy\__init__.py:1(<module>)
    29335    0.486    0.000    0.489    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\policies.py:402(unscale_action)
        7    0.000    0.000    0.477    0.068 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_inductor\inductor_prims.py:14(make_prim)
        7    0.000    0.000    0.477    0.068 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_prims\__init__.py:266(_make_prim)
        9    0.000    0.000    0.470    0.052 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\pyplot.py:872(figure)
        9    0.000    0.000    0.470    0.052 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\pyplot.py:549(new_figure_manager)
    58670    0.055    0.000    0.464    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\functional.py:1693(relu)
   327515    0.109    0.000    0.455    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\ma\core.py:1695(make_mask_none)
        9    0.000    0.000    0.448    0.050 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\backend_bases.py:3494(new_figure_manager)
   519625    0.439    0.000    0.444    0.000 {built-in method numpy.array}
    58930    0.116    0.000    0.444    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\module.py:2608(parameters)
        9    0.000    0.000    0.443    0.049 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\backend_bases.py:3503(new_figure_manager_given_figure)
        9    0.000    0.000    0.443    0.049 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\backend_bases.py:1772(new_manager)
        9    0.001    0.000    0.443    0.049 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:500(create_with_canvas)
   126276    0.058    0.000    0.426    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\_methods.py:67(_all)
10518/2982    0.006    0.000    0.424    0.000 {built-in method builtins.any}
  2590103    0.417    0.000    0.417    0.000 {method 'get' of 'dict' objects}
  1668932    0.308    0.000    0.413    0.000 {built-in method builtins.sum}
   117417    0.088    0.000    0.412    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\fromnumeric.py:2589(all)
        8    0.000    0.000    0.407    0.051 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\_library\custom_ops.py:117(inner)
   117340    0.152    0.000    0.404    0.000 {method 'clip' of 'numpy.generic' objects}
    29335    0.041    0.000    0.401    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\modules\activation.py:268(forward)
    58670    0.392    0.000    0.392    0.000 {built-in method torch.relu}
        6    0.000    0.000    0.390    0.065 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\matplotlib\pyplot.py:1614(subplots)
    29335    0.031    0.000    0.387    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\stable_baselines3\common\utils.py:479(obs_as_tensor)
   117351    0.199    0.000    0.377    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:51(update_agent_tree)
   124347    0.166    0.000    0.368    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\numpy\_core\fromnumeric.py:89(_wrapreduction_any_all)
  1141468    0.368    0.000    0.368    0.000 {built-in method cvxopt.blas.scal}
    29335    0.032    0.000    0.360    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\nn\functional.py:1745(hardtanh)
    29335    0.353    0.000    0.353    0.000 {built-in method torch.as_tensor}
    29350    0.174    0.000    0.349    0.000 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\functional.py:47(broadcast_tensors)
   810342    0.236    0.000    0.342    0.000 c:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\environment.py:477(decay)
   649753    0.331    0.000    0.331    0.000 {built-in method cvxopt.blas.copy}
    29335    0.323    0.000    0.323    0.000 {built-in method torch._C._nn.hardtanh}
        1    0.000    0.000    0.321    0.321 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributed\fsdp\_fully_shard\__init__.py:1(<module>)
  1294525    0.308    0.000    0.311    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.311    0.311 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fully_shard.py:1(<module>)
   327810    0.310    0.000    0.310    0.000 {built-in method cvxopt.blas.trsv}
       75    0.002    0.000    0.308    0.004 C:\Users\clark\OneDrive - Georgia Institute of Technology\Georgia Tech\2- Spring 2025\CS 7631\Project\aco_decentral_hetero\venv\Lib\site-packages\torch\library.py:277(impl)
